	count	mean_w	std_1
665	19	1509.78947368	333.85842483
666	19	1511.57894737	333.676746923
667	18	1523.11111111	352.681334149
668	18	1523.11111111	352.681334149
669	18	1523.44444444	352.711191287
670	17	1536.0	374.011333974
671	17	1537.17647059	374.00142768
672	16	1565.0625	397.033630699
673	16	1565.0625	397.033630699
674	16	1565.3125	397.11507273
675	16	1565.25	397.114776649
676	16	1566.5	397.055243847
677	16	1566.75	397.014079305
678	16	1566.75	397.014079305
679	16	1564.875	395.103571601
680	16	1564.875	395.103571601
681	15	1613.13333333	419.355013445
682	14	1480.85714286	423.016143629
683	14	1480.28571429	422.1590038
684	13	1467.23076923	455.622188765
685	13	1467.23076923	455.622188765
686	12	1506.25	493.493853773
687	12	1506.25	493.493853773
688	12	1506.25	493.493853773
